DIRECCION,REFERENCIA GENERAL,OBJETIVO GENERAL,No TRAMITE,DESCRIPCION GENERAL,TECNICO ENCARGADO,FECHA INICIAL,FECHA LIMITE,ESTADO,OBSERVACION,ENTIDAD ACTUAL,
DESARROLLO ECONÓMICO,PROYECTO LACTEOS - CONVENIO UNACH,Impulsar iniciativas de articulación interinstitucional que contribuyan al desarrollo productivo del cantón.,,INAGURACION,GUSTAVO CAMELOS,23/03/2026,SIN INFOMACION,FINALIZADO,Inaguracion 15 de julio 2026,,
DESARROLLO ECONÓMICO,CREACION EMPRESA PUBLICA,Promover mecanismos institucionales que fortalezcan la generación de oportunidades y la  dinamización económica local.,,EMPRESA PUBLICA,GUSTAVO CAMELOS,23/03/2026,SIN INFOMACION,EN CURSO,"26MAR2026 Plan de negocios estudio de mercados, productos                        31MAR2026 Visita In Situ CADEN Cuenca",DESARROLLO ECONOMICO,
CONCEJOS Y JUNTAS,REFORMA DE ORDENANZA,Fortalecer el marco institucional para garantizar una adecuada protección integral de derechos en el cantón.,Nro. 006-2026,REFORMA,TERESA SANDOVAL,3/26/26,4/21/26,FINALIZADO,"26MAR2026 Mesa de trabajo con Talento Humano, Procuraduria, Secretaria General",CONCEJOS Y JUNTAS,
CONCEJOS Y JUNTAS,ORDENANZA MOVILIDAD HUMANA,Fortalecer la respuesta institucional frente a las necesidades de la población en movilidad humana.,,APROBACIÓN,TERESA SANDOVAL,4/9/26,SIN INFOMACION,EN CURSO,09ABR2026 Mesa de trabajo con Proteccion de Derechos,CONCEJOS Y JUNTAS,
DESARROLLO SOCIAL,CASA DE BIENESTAR - UNICEF,Consolidar programas sociales y formativos mediante alianzas estratégicas y cooperación interinstitucional.,ACTA N°17,INAGURACION,ESTEFANIA CAMELOS - MARCO MIÑACA,3/26/26,4/23/26,FINALIZADO,07ABR2026 Capacitación UNICEF tecnicos                                                                      06MAY2026 Diseño de certificados para cada curso                                             06MAY2026 Publicacion de los 4 cursos que ofrece la Casa de Bienestar,"COMUNICACIÓN, DESARROLLO SOCIAL",
DESARROLLO SOCIAL,COCINAS COMUNITARIAS / FURGON DE LA SALUD - TERRITORIO,"Acercar servicios municipales integrales a las comunidades mediante intervenciones coordinadas en territorio.   Cronograma - Calpi en las comunidades de San Francisco de Cunuguachay, Jatari Campecino, Rumi Cruz, Palacio Real, Nitiluiza",ACTA N°28,CRONOGRAMA,ESTEFANIA CAMELOS - MARCO MIÑACA - GEOVANA MARTINEZ,4/8/26,5/12/26,FINALIZADO,"05MAY2026 Avanzada en la comunidad de San Francisco Cunuguachay 17MAY2026 Campaña de esterilizacion, furgon de la salud y cocinas comunitarias en la comunidad San Francisco de Cunuguachay","HIGIENE, DESARROLLO SOCIAL",
DESARROLLO SOCIAL,"PROPUESTA CONVENIO CEDIS, ADULTO MAYOR MUNICIPIO - FUNDACIONES",Fortalecer la atención a grupos prioritarios mediante mecanismos sostenibles de cooperación.,ACTA N°28,CONVENIO,MARCO MIÑACA,4/7/26,5/16/26,FINALIZADO,No es procedente,DESARROLLO SOCIAL,
DESARROLLO SOCIAL,CURSOS VACACIONALES - CASA DE BIENESTAR,"Fomentar el desarrollo integral, la creatividad y el sano esparcimiento de la niñez y juventud riobambeña",ACTA Nª62,INAGURACION,JEANET BARRENO,5/28/26,6/16/26,FINALIZADO,Cursos vacacionales empezaron el 06 de julio de 2026,DESARROLLO SOCIAL,
HIGIENE,CONVENIO  RECOLECCION Y TRANSPORTE DE BASURA CON RIOBAMBA EP,Fortalecer la prestación eficiente del servicio de recolección y transporte de residuos sólidos,ACTA N°27,CONVENIO,ANGEL VALLEJO,4/7/26,,EN CURSO,07ABR2026 Revision de la consultoria existente,HIGIENE,
HIGIENE,PROYECTO CRIAR,Fortalecer la infraestructura y capacidad operativa destinada a la protección y bienestar animal.,ACTA N°59,INFRAESTRUCTURA,YADIRA OLALLA,4/5/26,,EN CURSO,"05ABR2026 Gestionar visita In situ a UBA Quito el 21 o 22, establecer presupuesto para el proyecto de infraestructura de CRIAR, acercamiento a Veterinaria ESPOCA,   31JUL2026 traslado a URBA QUITO",CRIAR,
